service_id,date,exception_type
20240101_MTWT---_62,20240213,1
20240101_MTWTF--_63,20240213,1
20240101_MTWTF--_99663,20240213,1
20240105_MTWTF--_66,20240213,1
20240105_MTWTF--_67,20240213,1
20220522_MTWTF--_1,20240214,1
20220522_MTWTF--_2,20240214,1
20220522_MTWTF--_3,20240214,1
20230820_MTWTF--_42,20240214,1
20230821_MTWTF--_48,20240214,1
20230821_MTWTF--_49,20240214,1
20240101_--W----_56,20240214,1
20240101_--WT---_57,20240214,1
20240101_M-W-F--_58,20240214,1
20240101_MTW-F--_61,20240214,1
20240101_MTWT---_62,20240214,1
20240101_MTWTF--_63,20240214,1
20240101_MTWTF--_99663,20240214,1
20240102_M-W-F--_95,20240214,1
20240105_MTWTF--_66,20240214,1
20240105_MTWTF--_67,20240214,1
20220522_MTWTF--_1,20240215,1
20220522_MTWTF--_2,20240215,1
20220522_MTWTF--_3,20240215,1
20230820_MTWTF--_42,20240215,1
20230821_MTWTF--_48,20240215,1
20230821_MTWTF--_49,20240215,1
20240101_---T---_55,20240215,1
20240101_--WT---_57,20240215,1
20240101_MT-TF--_60,20240215,1
20240101_MTWT---_62,20240215,1
20240101_MTWTF--_63,20240215,1
20240101_MTWTF--_99663,20240215,1
20240102_---T---_94,20240215,1
20240105_MTWTF--_66,20240215,1
20240105_MTWTF--_67,20240215,1
20220522_MTWTF--_1,20240216,1
20220522_MTWTF--_2,20240216,1
20220522_MTWTF--_3,20240216,1
20230820_----F--_41,20240216,1
20230820_MTWTF--_42,20240216,1
20230821_MTWTF--_48,20240216,1
20230821_MTWTF--_49,20240216,1
20240101_----F--_54,20240216,1
20240101_----F--_69,20240216,1
20240101_M-W-F--_58,20240216,1
20240101_MT--F--_59,20240216,1
20240101_MT-TF--_60,20240216,1
20240101_MTW-F--_61,20240216,1
20240101_MTWTF--_63,20240216,1
20240101_MTWTF--_99663,20240216,1
20240102_M-W-F--_95,20240216,1
20240105_MTWTF--_66,20240216,1
20240105_MTWTF--_67,20240216,1
20240202_M---F--_9902,20240216,1
20220522_-----S-_5,20240217,1
20230820_-----S-_40,20240217,1
20230820_-----S-_44,20240217,1
20230821_-----S-_50,20240217,1
20240101_-----S-_53,20240217,1
20240101_-----S-_99653,20240217,1
20240101_-----S-_64,20240217,1
20220522_------S_4,20240218,1
20230820_------S_39,20240218,1
20230820_------S_43,20240218,1
20240101_------S_52,20240218,1
20240102_------S_65,20240218,1
20240102_------S_93,20240218,1
20220522_MTWTF--_1,20240219,1
20220522_MTWTF--_2,20240219,1
20220522_MTWTF--_3,20240219,1
20230820_MTWTF--_42,20240219,1
20230821_MTWTF--_48,20240219,1
20230821_MTWTF--_49,20240219,1
20240101_M-W-F--_58,20240219,1
20240101_MT--F--_59,20240219,1
20240101_MT-TF--_60,20240219,1
20240101_MTW-F--_61,20240219,1
20240101_MTWT---_62,20240219,1
20240101_MTWTF--_63,20240219,1
20240101_MTWTF--_99663,20240219,1
20240102_M-W-F--_95,20240219,1
20240105_MTWTF--_66,20240219,1
20240105_MTWTF--_67,20240219,1
20240202_M------_9901,20240219,1
20240202_M---F--_9902,20240219,1
20220522_MTWTF--_1,20240220,1
20220522_MTWTF--_2,20240220,1
20220522_MTWTF--_3,20240220,1
20230820_MTWTF--_42,20240220,1
20230821_MTWTF--_48,20240220,1
20230821_MTWTF--_49,20240220,1
20240101_MT--F--_59,20240220,1
20240101_MT-TF--_60,20240220,1
20240101_MTW-F--_61,20240220,1
20240101_MTWT---_62,20240220,1
20240101_MTWTF--_63,20240220,1
20240101_MTWTF--_99663,20240220,1
20240105_MTWTF--_66,20240220,1
20240105_MTWTF--_67,20240220,1
20220522_MTWTF--_1,20240221,1
20220522_MTWTF--_2,20240221,1
20220522_MTWTF--_3,20240221,1
20230820_MTWTF--_42,20240221,1
20230821_MTWTF--_48,20240221,1
20230821_MTWTF--_49,20240221,1
20240101_--W----_56,20240221,1
20240101_--WT---_57,20240221,1
20240101_M-W-F--_58,20240221,1
20240101_MTW-F--_61,20240221,1
20240101_MTWT---_62,20240221,1
20240101_MTWTF--_63,20240221,1
20240101_MTWTF--_99663,20240221,1
20240102_M-W-F--_95,20240221,1
20240105_MTWTF--_66,20240221,1
20240105_MTWTF--_67,20240221,1
20220522_MTWTF--_1,20240222,1
20220522_MTWTF--_2,20240222,1
20220522_MTWTF--_3,20240222,1
20230820_MTWTF--_42,20240222,1
20230821_MTWTF--_48,20240222,1
20230821_MTWTF--_49,20240222,1
20240101_---T---_55,20240222,1
20240101_--WT---_57,20240222,1
20240101_MT-TF--_60,20240222,1
20240101_MTWT---_62,20240222,1
20240101_MTWTF--_63,20240222,1
20240101_MTWTF--_99663,20240222,1
20240102_---T---_94,20240222,1
20240105_MTWTF--_66,20240222,1
20240105_MTWTF--_67,20240222,1
20220522_MTWTF--_1,20240223,1
20220522_MTWTF--_2,20240223,1
20220522_MTWTF--_3,20240223,1
20230820_----F--_41,20240223,1
20230820_MTWTF--_42,20240223,1
20230821_MTWTF--_48,20240223,1
20230821_MTWTF--_49,20240223,1
20240101_----F--_54,20240223,1
20240101_----F--_69,20240223,1
20240101_M-W-F--_58,20240223,1
20240101_MT--F--_59,20240223,1
20240101_MT-TF--_60,20240223,1
20240101_MTW-F--_61,20240223,1
20240101_MTWTF--_63,20240223,1
20240101_MTWTF--_99663,20240223,1
20240102_M-W-F--_95,20240223,1
20240105_MTWTF--_66,20240223,1
20240105_MTWTF--_67,20240223,1
20240202_M---F--_9902,20240223,1
20220522_-----S-_5,20240224,1
20230820_-----S-_40,20240224,1
20230820_-----S-_44,20240224,1
20230821_-----S-_50,20240224,1
20240101_-----S-_53,20240224,1
20240101_-----S-_99653,20240224,1
20240101_-----S-_64,20240224,1
20220522_------S_4,20240225,1
20230820_------S_39,20240225,1
20230820_------S_43,20240225,1
20240101_------S_52,20240225,1
20240102_------S_65,20240225,1
20240102_------S_93,20240225,1
20220522_MTWTF--_1,20240226,1
20220522_MTWTF--_2,20240226,1
20220522_MTWTF--_3,20240226,1
20230820_MTWTF--_42,20240226,1
20230821_MTWTF--_48,20240226,1
20230821_MTWTF--_49,20240226,1
20240101_M-W-F--_58,20240226,1
20240101_MT--F--_59,20240226,1
20240101_MT-TF--_60,20240226,1
20240101_MTW-F--_61,20240226,1
20240101_MTWT---_62,20240226,1
20240101_MTWTF--_63,20240226,1
20240101_MTWTF--_99663,20240226,1
20240102_M-W-F--_95,20240226,1
20240105_MTWTF--_66,20240226,1
20240105_MTWTF--_67,20240226,1
20240202_M------_9901,20240226,1
20240202_M---F--_9902,20240226,1
20220522_MTWTF--_1,20240227,1
20220522_MTWTF--_2,20240227,1
20220522_MTWTF--_3,20240227,1
20230820_MTWTF--_42,20240227,1
20230821_MTWTF--_48,20240227,1
20230821_MTWTF--_49,20240227,1
20240101_MT--F--_59,20240227,1
20240101_MT-TF--_60,20240227,1
20240101_MTW-F--_61,20240227,1
20240101_MTWT---_62,20240227,1
20240101_MTWTF--_63,20240227,1
20240101_MTWTF--_99663,20240227,1
20240105_MTWTF--_66,20240227,1
20240105_MTWTF--_67,20240227,1
20220522_MTWTF--_1,20240228,1
20220522_MTWTF--_2,20240228,1
20220522_MTWTF--_3,20240228,1
20230820_MTWTF--_42,20240228,1
20230821_MTWTF--_48,20240228,1
20230821_MTWTF--_49,20240228,1
20240101_--W----_56,20240228,1
20240101_--WT---_57,20240228,1
20240101_M-W-F--_58,20240228,1
20240101_MTW-F--_61,20240228,1
20240101_MTWT---_62,20240228,1
20240101_MTWTF--_63,20240228,1
20240101_MTWTF--_99663,20240228,1
20240102_M-W-F--_95,20240228,1
20240105_MTWTF--_66,20240228,1
20240105_MTWTF--_67,20240228,1
20220522_MTWTF--_1,20240229,1
20220522_MTWTF--_2,20240229,1
20220522_MTWTF--_3,20240229,1
20230820_MTWTF--_42,20240229,1
20230821_MTWTF--_48,20240229,1
20230821_MTWTF--_49,20240229,1
20240101_---T---_55,20240229,1
20240101_--WT---_57,20240229,1
20240101_MT-TF--_60,20240229,1
20240101_MTWT---_62,20240229,1
20240101_MTWTF--_63,20240229,1
20240101_MTWTF--_99663,20240229,1
20240102_---T---_94,20240229,1
20240105_MTWTF--_66,20240229,1
20240105_MTWTF--_67,20240229,1
20220522_MTWTF--_1,20240301,1
20220522_MTWTF--_2,20240301,1
20220522_MTWTF--_3,20240301,1
20230820_----F--_41,20240301,1
20230820_MTWTF--_42,20240301,1
20230821_MTWTF--_48,20240301,1
20230821_MTWTF--_49,20240301,1
20240101_----F--_54,20240301,1
20240101_----F--_69,20240301,1
20240101_M-W-F--_58,20240301,1
20240101_MT--F--_59,20240301,1
20240101_MT-TF--_60,20240301,1
20240101_MTW-F--_61,20240301,1
20240101_MTWTF--_63,20240301,1
20240101_MTWTF--_99663,20240301,1
20240102_M-W-F--_95,20240301,1
20240105_MTWTF--_66,20240301,1
20240105_MTWTF--_67,20240301,1
20240202_M---F--_9902,20240301,1
20220522_-----S-_5,20240302,1
20230820_-----S-_40,20240302,1
20230820_-----S-_44,20240302,1
20230821_-----S-_50,20240302,1
20240101_-----S-_53,20240302,1
20240101_-----S-_99653,20240302,1
20240101_-----S-_64,20240302,1
20220522_------S_4,20240303,1
20230820_------S_39,20240303,1
20230820_------S_43,20240303,1
20240101_------S_52,20240303,1
20240102_------S_65,20240303,1
20240102_------S_93,20240303,1
20220522_MTWTF--_1,20240304,1
20220522_MTWTF--_2,20240304,1
20220522_MTWTF--_3,20240304,1
20230820_MTWTF--_42,20240304,1
20230821_MTWTF--_48,20240304,1
20230821_MTWTF--_49,20240304,1
20240101_M-W-F--_58,20240304,1
20240101_MT--F--_59,20240304,1
20240101_MT-TF--_60,20240304,1
20240101_MTW-F--_61,20240304,1
20240101_MTWT---_62,20240304,1
20240101_MTWTF--_63,20240304,1
20240101_MTWTF--_99663,20240304,1
20240102_M-W-F--_95,20240304,1
