route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.4,20230820_------S_43,525528,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_43,525529,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_43,525530,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_43,525531,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_43,525532,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_43,525533,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_43,525534,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_43,525535,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_43,525536,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_43,525670,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_43,525671,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_43,525672,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_43,525673,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_43,525674,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_43,525675,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_43,525676,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_43,525677,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_43,525684,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_43,525685,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_43,525686,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_43,525687,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_43,525688,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_43,525689,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_43,525690,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_43,525691,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525541,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525542,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525543,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525544,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525545,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525546,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525547,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525548,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525554,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525555,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525557,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525558,Berg/Fell,,0,4169_4-D,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525559,Berg/Fell,,0,4166_4-C,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525560,Berg/Fell,,0,4160_4-A,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525561,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_2
ST.4,20230820_-----S-_40,525593,Berg/Fell,,0,4163_4-B,4_f4_1005361_1_6
ST.4,20230820_-----S-_40,525598,Berg/Fell,,0,4160_4-A,4_1006520_1_3
ST.4,20230820_-----S-_40,525619,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525625,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525627,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525628,Hlemmur,,1,4163_4-B,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525629,Hlemmur,,1,4169_4-D,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525630,Hlemmur,,1,4166_4-C,4_f4_1005361_2_52
ST.4,20230820_-----S-_40,525631,Hlemmur,,1,4160_4-A,4_f4_1005361_2_52
